³¯Â¥,»ó´ë,Å¸°Ý,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,µµ·ç,º¼³Ý,»ç±¸,»ïÁø,º´»ìÅ¸,½ÃÁðÅ¸À²
2022-04-02,LG,4,4,0,2,1,0,0,0,0,0,0,1,0,0.500
2022-04-03,LG,5,4,0,1,1,0,0,0,0,1,0,1,0,0.375
2022-04-05,ÇÑÈ­,4,3,0,0,0,0,0,0,0,0,1,0,0,0.273
2022-04-06,ÇÑÈ­,5,5,1,3,1,0,0,3,0,0,0,2,0,0.375
2022-04-07,ÇÑÈ­,4,3,2,2,1,0,0,1,0,1,0,1,0,0.421
2022-04-08,SSG,4,3,0,1,0,0,0,0,0,1,0,1,0,0.409
2022-04-09,SSG,4,4,0,0,0,0,0,0,0,0,0,1,0,0.346
2022-04-10,SSG,4,2,0,0,0,0,0,0,0,2,0,0,0,0.321
2022-04-12,·Ôµ¥,4,4,0,0,0,0,0,0,0,0,0,3,0,0.281
2022-04-14,·Ôµ¥,4,4,0,1,0,0,0,0,0,0,0,1,0,0.278
2022-04-15,NC,4,4,0,1,0,0,0,0,0,0,0,2,0,0.275
2022-04-16,NC,5,4,1,1,0,1,0,1,0,0,1,2,0,0.273
2022-04-17,NC,5,3,1,1,0,0,1,3,0,1,1,1,0,0.277
2022-04-19,µÎ»ê,5,2,2,2,0,0,1,1,0,3,0,0,0,0.306
2022-04-20,µÎ»ê,5,4,0,0,0,0,0,0,0,1,0,1,1,0.283
2022-04-21,µÎ»ê,4,4,0,1,1,0,0,0,0,0,0,0,0,0.281
2022-04-22,Å°¿ò,4,4,1,1,0,0,0,0,0,0,0,2,0,0.279
2022-04-23,Å°¿ò,4,4,0,2,2,0,0,0,0,0,0,0,0,0.292
2022-04-24,Å°¿ò,5,4,2,3,1,0,0,2,0,1,0,0,0,0.319
2022-04-26,KT,5,5,0,0,0,0,0,0,0,0,0,2,1,0.297
2022-04-27,KT,4,4,0,3,0,0,0,0,0,0,0,1,0,0.321
2022-04-28,KT,4,4,1,3,0,0,0,0,0,0,0,0,0,0.341
2022-04-29,»ï¼º,5,4,0,1,0,0,0,0,0,1,0,0,0,0.337
2022-04-30,»ï¼º,5,5,0,1,1,0,0,0,0,0,0,1,0,0.330
2022-05-01,»ï¼º,5,5,1,1,1,0,0,0,0,0,0,1,1,0.323
2022-05-03,Å°¿ò,4,4,0,0,0,0,0,0,0,0,0,1,0,0.310
2022-05-04,Å°¿ò,5,3,1,0,0,0,0,0,0,2,0,2,0,0.301
2022-05-05,Å°¿ò,5,4,1,1,0,0,1,4,0,0,0,0,0,0.299
2022-05-06,ÇÑÈ­,4,3,2,1,0,0,0,0,0,0,1,0,0,0.300
2022-05-07,ÇÑÈ­,5,3,1,1,0,0,0,0,1,2,0,2,0,0.301
2022-05-08,ÇÑÈ­,5,4,2,3,1,0,1,2,0,1,0,0,0,0.316
2022-05-10,KT,4,4,0,1,0,0,0,0,0,0,0,1,0,0.314
2022-05-11,KT,5,5,1,2,0,0,1,2,0,0,0,2,0,0.317
2022-05-12,KT,4,3,1,1,0,0,0,0,0,0,1,1,0,0.318
2022-05-13,LG,5,2,2,0,0,0,0,1,1,1,1,1,0,0.313
2022-05-14,LG,4,4,0,2,0,0,0,0,0,0,0,2,0,0.319
2022-05-15,LG,4,3,0,2,0,0,0,0,0,1,0,1,0,0.326
2022-05-17,·Ôµ¥,5,5,0,1,0,0,0,0,0,0,0,1,1,0.322
2022-05-18,·Ôµ¥,6,3,3,2,1,0,0,3,0,2,1,0,0,0.329
2022-05-19,·Ôµ¥,4,4,0,2,0,0,0,1,0,0,0,0,0,0.333
2022-05-20,NC,4,4,0,1,0,0,0,1,0,0,0,1,0,0.331
2022-05-21,NC,5,5,0,1,0,0,0,0,0,0,0,1,0,0.327
2022-05-22,NC,4,4,1,1,0,0,1,3,0,0,0,2,0,0.325
2022-05-24,»ï¼º,4,2,0,0,0,0,0,1,0,1,1,0,0,0.321
2022-05-25,»ï¼º,5,4,1,1,1,0,0,0,0,1,0,0,0,0.320
2022-05-26,»ï¼º,5,3,1,0,0,0,0,0,0,2,0,0,0,0.314
2022-05-27,SSG,4,3,0,2,0,0,0,0,0,1,0,0,0,0.320
2022-05-28,SSG,5,5,2,3,0,0,1,3,1,0,0,1,0,0.328
2022-05-29,SSG,5,5,1,2,0,0,1,3,0,0,0,1,0,0.330
2022-05-31,µÎ»ê,5,5,2,2,0,0,0,2,0,0,0,1,0,0.332
2022-06-01,µÎ»ê,5,4,1,1,0,0,1,1,0,1,0,2,0,0.330
2022-06-02,µÎ»ê,4,3,0,1,0,0,0,1,0,1,0,0,0,0.330
2022-06-03,KT,4,4,1,0,0,0,0,0,0,0,0,2,0,0.323
2022-06-04,KT,4,3,1,0,0,0,0,0,0,1,0,1,0,0.319
2022-06-05,KT,5,4,1,1,0,0,0,0,0,0,1,2,0,0.317
2022-06-08,LG,5,5,0,0,0,0,0,0,0,0,0,2,0,0.310
2022-06-09,LG,4,3,1,0,0,0,0,0,0,1,0,1,0,0.306
2022-06-10,Å°¿ò,5,3,0,0,0,0,0,0,0,2,0,2,0,0.301
2022-06-11,Å°¿ò,4,4,1,2,2,0,0,0,0,0,0,1,0,0.305
2022-06-12,Å°¿ò,5,4,2,1,0,0,0,0,0,1,0,1,0,0.304
2022-06-15,NC,5,3,0,1,0,0,0,1,0,0,1,0,0,0.304
2022-06-16,NC,5,4,1,2,1,0,1,3,0,1,0,0,0,0.308
2022-06-17,»ï¼º,4,4,1,1,1,0,0,0,0,0,0,0,0,0.307
2022-06-18,»ï¼º,4,3,0,1,1,0,0,0,0,1,0,0,0,0.307
2022-06-19,»ï¼º,5,4,0,1,0,0,0,0,0,1,0,0,0,0.306
2022-06-21,·Ôµ¥,4,4,0,0,0,0,0,0,0,0,0,1,0,0.301
2022-06-22,·Ôµ¥,6,5,0,1,0,0,0,1,1,1,0,2,0,0.299
2022-06-23,·Ôµ¥,4,4,1,2,2,0,0,3,0,0,0,1,0,0.302
2022-06-24,µÎ»ê,5,5,0,2,0,0,0,0,0,0,0,1,0,0.304
2022-06-25,µÎ»ê,5,4,0,1,0,0,0,0,0,1,0,2,0,0.303
2022-06-26,µÎ»ê,4,3,0,1,0,0,0,0,0,1,0,1,0,0.304
2022-06-28,Å°¿ò,4,4,0,2,2,0,0,1,0,0,0,2,0,0.307
2022-06-29,Å°¿ò,4,4,0,0,0,0,0,0,0,0,0,2,0,0.302
2022-06-30,Å°¿ò,5,5,1,2,0,0,1,1,0,0,0,0,0,0.304
2022-07-01,SSG,5,4,2,2,0,0,1,1,0,1,0,1,1,0.307
2022-07-02,SSG,4,4,0,1,0,1,0,0,0,0,0,1,0,0.306
2022-07-03,SSG,4,3,0,0,0,0,0,1,0,0,0,1,0,0.303
2022-07-06,KT,4,4,0,2,0,0,0,0,0,0,0,1,0,0.305
2022-07-08,ÇÑÈ­,5,2,0,0,0,0,0,0,0,1,2,0,0,0.303
2022-07-09,ÇÑÈ­,5,4,0,1,0,0,0,2,0,1,0,2,0,0.303
2022-07-10,ÇÑÈ­,4,3,2,1,0,0,0,1,0,1,0,0,0,0.303
2022-07-12,LG,5,5,1,2,1,0,0,0,0,0,0,1,0,0.304
2022-07-14,LG,4,3,0,2,2,0,0,2,0,0,1,1,0,0.308
2022-07-22,·Ôµ¥,4,3,1,2,0,0,0,0,0,1,0,0,0,0.311
2022-07-23,·Ôµ¥,6,6,1,1,0,0,0,1,0,0,0,2,0,0.309
2022-07-24,·Ôµ¥,4,4,3,3,1,0,0,0,0,0,0,1,0,0.314
2022-07-26,NC,4,4,1,2,0,0,1,1,0,0,0,1,0,0.316
2022-07-27,NC,5,3,0,0,0,0,0,1,0,0,1,0,0,0.313
2022-07-28,NC,5,5,1,1,1,0,0,1,0,0,0,1,0,0.312
2022-07-29,SSG,5,3,3,3,1,0,2,7,0,1,1,0,0,0.318
2022-07-30,SSG,5,5,0,2,0,0,0,1,0,0,0,2,0,0.319
2022-07-31,SSG,5,5,0,2,0,0,0,1,0,0,0,0,0,0.320
2022-08-02,ÇÑÈ­,5,5,0,3,1,0,0,0,0,0,0,0,0,0.324
