³¯Â¥,»ó´ë,Å¸°Ý,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,µµ·ç,º¼³Ý,»ç±¸,»ïÁø,º´»ìÅ¸,½ÃÁðÅ¸À²
2022-04-02,·Ôµ¥,5,5,0,1,0,0,0,0,0,0,0,0,0,0.200
2022-04-03,·Ôµ¥,5,5,0,3,1,0,0,3,0,0,0,0,0,0.400
2022-04-05,LG,4,4,1,2,1,0,0,0,0,0,0,0,0,0.429
2022-04-06,LG,5,5,0,1,0,0,0,0,0,0,0,0,1,0.368
2022-04-07,LG,4,4,0,0,0,0,0,0,0,0,0,1,0,0.304
2022-04-08,»ï¼º,4,4,0,1,0,0,0,0,0,0,0,0,0,0.296
2022-04-09,»ï¼º,4,4,0,1,0,0,0,0,0,0,0,0,0,0.290
2022-04-10,»ï¼º,5,5,1,2,0,0,1,2,0,0,0,0,1,0.306
2022-04-12,NC,5,3,2,1,0,0,1,3,0,2,0,0,0,0.308
2022-04-13,NC,6,5,1,2,0,0,0,1,0,1,0,0,0,0.318
2022-04-14,NC,4,4,0,0,0,0,0,0,0,0,0,0,0,0.292
2022-04-15,µÎ»ê,4,2,0,2,0,0,0,2,0,1,0,0,0,0.320
2022-04-16,µÎ»ê,4,3,0,0,0,0,0,0,0,1,0,0,0,0.302
2022-04-17,µÎ»ê,5,4,1,1,0,0,0,1,0,1,0,0,0,0.298
2022-04-19,SSG,5,4,1,1,0,0,0,0,0,1,0,0,0,0.295
2022-04-20,SSG,4,4,1,1,0,0,1,1,0,0,0,1,0,0.292
2022-04-21,SSG,4,4,0,1,0,0,0,1,1,0,0,0,0,0.290
2022-04-22,KIA,5,4,0,2,2,0,0,1,0,1,0,0,0,0.301
2022-04-23,KIA,4,4,1,2,1,0,1,3,0,0,0,0,0,0.312
2022-04-24,KIA,3,3,0,1,0,0,0,0,0,0,0,0,0,0.313
2022-04-27,ÇÑÈ­,5,5,2,2,0,0,0,0,0,0,0,0,0,0.318
2022-04-28,ÇÑÈ­,4,4,0,1,1,0,0,1,0,0,0,0,0,0.315
2022-04-29,KT,4,4,0,3,1,0,0,1,0,0,0,0,0,0.333
2022-04-30,KT,4,3,0,0,0,0,0,0,0,0,1,1,0,0.323
2022-05-01,KT,4,4,1,3,0,0,0,0,0,0,0,0,0,0.340
2022-05-03,KIA,5,5,0,2,0,0,0,1,0,0,0,0,0,0.343
2022-05-04,KIA,4,4,0,1,0,0,0,0,0,0,0,0,0,0.339
2022-05-05,KIA,3,2,0,0,0,0,0,1,0,0,0,0,0,0.333
2022-05-06,SSG,4,4,1,1,0,0,0,0,0,0,0,0,0,0.330
2022-05-07,SSG,4,4,0,1,0,0,0,0,0,0,0,0,0,0.328
2022-05-08,SSG,4,4,0,1,0,0,0,0,1,0,0,0,0,0.325
2022-05-10,µÎ»ê,4,3,0,1,0,0,0,0,0,1,0,0,0,0.325
2022-05-11,µÎ»ê,4,4,0,2,0,0,0,0,0,0,0,0,1,0.331
2022-05-12,µÎ»ê,5,4,0,0,0,0,0,0,0,1,0,0,0,0.321
2022-05-13,KT,5,3,1,1,1,0,0,0,0,2,0,0,0,0.321
2022-05-14,KT,4,4,0,1,0,0,0,0,0,0,0,0,0,0.319
2022-05-15,KT,6,4,1,3,1,0,0,0,0,2,0,0,0,0.331
2022-05-17,NC,1,0,0,0,0,0,0,0,0,1,0,0,0,0.331
2022-05-19,NC,1,1,0,0,0,0,0,0,0,0,0,0,1,0.329
2022-05-20,ÇÑÈ­,4,4,1,1,1,0,0,0,0,0,0,0,0,0.327
2022-05-21,ÇÑÈ­,4,4,1,1,0,0,0,0,0,0,0,0,0,0.325
2022-05-22,ÇÑÈ­,4,4,0,1,1,0,0,0,0,0,0,0,0,0.323
2022-05-24,LG,5,5,1,1,0,1,0,2,0,0,0,0,1,0.319
2022-05-25,LG,5,5,2,3,0,0,1,2,0,0,0,0,0,0.327
2022-05-26,LG,5,4,3,2,1,1,0,1,0,1,0,0,0,0.331
2022-05-27,·Ôµ¥,5,4,0,1,0,0,0,0,0,1,0,1,0,0.330
2022-05-28,·Ôµ¥,5,4,2,2,1,0,1,3,0,1,0,1,0,0.333
2022-05-29,·Ôµ¥,5,4,0,0,0,0,0,1,0,1,0,1,0,0.326
2022-05-31,»ï¼º,4,3,1,1,0,0,0,0,0,1,0,0,0,0.326
2022-06-01,»ï¼º,5,4,0,1,0,0,0,0,0,1,0,0,0,0.325
2022-06-02,»ï¼º,5,4,3,2,0,0,0,0,0,1,0,1,0,0.328
2022-06-03,ÇÑÈ­,5,5,0,0,0,0,0,0,0,0,0,1,0,0.320
2022-06-04,ÇÑÈ­,5,5,0,1,0,0,0,0,0,0,0,1,0,0.317
2022-06-07,KT,5,3,1,1,0,0,0,0,0,2,0,1,0,0.317
2022-06-08,KT,6,5,1,1,0,0,0,0,0,1,0,0,1,0.315
2022-06-09,KT,4,2,0,1,0,0,0,0,0,2,0,0,0,0.316
2022-06-10,KIA,5,4,1,2,0,0,1,3,0,1,0,1,0,0.320
2022-06-11,KIA,4,4,0,1,0,0,0,0,0,0,0,1,0,0.318
2022-06-12,KIA,5,5,2,4,0,0,2,7,0,0,0,0,0,0.329
2022-06-14,µÎ»ê,4,2,1,0,0,0,0,0,0,1,1,0,0,0.326
2022-06-15,µÎ»ê,4,2,1,1,0,0,1,2,0,2,0,0,0,0.328
2022-06-16,µÎ»ê,5,5,0,1,0,0,0,1,0,0,0,1,0,0.325
2022-06-17,LG,5,5,0,3,0,0,0,0,0,0,0,0,0,0.331
2022-06-18,LG,4,3,0,3,0,0,0,1,0,1,0,0,0,0.339
2022-06-19,LG,4,4,1,1,0,0,1,1,0,0,0,1,0,0.337
2022-06-21,»ï¼º,5,3,0,2,0,0,0,0,0,2,0,0,0,0.341
2022-06-22,»ï¼º,5,5,1,3,1,0,1,3,0,0,0,0,0,0.346
2022-06-23,»ï¼º,5,5,0,2,0,0,0,2,0,0,0,0,1,0.347
2022-06-24,·Ôµ¥,4,3,0,2,1,0,0,0,0,1,0,0,0,0.351
2022-06-25,·Ôµ¥,6,6,2,3,1,1,0,3,0,0,0,0,0,0.354
2022-06-26,·Ôµ¥,5,5,1,1,0,0,1,1,0,0,0,0,0,0.351
2022-06-28,KIA,4,3,1,1,0,0,1,3,0,1,0,0,0,0.351
2022-06-29,KIA,4,3,0,1,0,0,0,0,0,1,0,0,0,0.351
2022-06-30,KIA,4,2,0,0,0,0,0,0,0,2,0,1,0,0.349
2022-07-01,ÇÑÈ­,4,3,0,0,0,0,0,0,0,1,0,0,0,0.345
2022-07-02,ÇÑÈ­,4,3,0,1,1,0,0,1,0,1,0,0,0,0.345
2022-07-03,ÇÑÈ­,4,3,0,0,0,0,0,0,0,1,0,0,0,0.341
2022-07-05,µÎ»ê,5,4,0,2,0,0,0,0,0,1,0,0,0,0.343
2022-07-06,µÎ»ê,2,1,0,0,0,0,0,0,0,0,1,0,0,0.342
2022-07-07,µÎ»ê,1,1,0,0,0,0,0,0,0,0,0,0,0,0.341
2022-07-08,NC,4,4,0,1,0,1,0,1,0,0,0,2,0,0.340
2022-07-09,NC,5,5,1,2,2,0,0,2,0,0,0,0,0,0.341
2022-07-10,NC,4,4,0,0,0,0,0,0,0,0,0,0,0,0.337
2022-07-12,SSG,5,5,0,0,0,0,0,0,0,0,0,1,1,0.331
2022-07-14,SSG,4,3,1,1,0,0,1,1,0,1,0,0,0,0.331
2022-07-22,»ï¼º,5,5,0,2,0,0,0,0,0,0,0,0,0,0.332
2022-07-23,»ï¼º,5,4,2,2,1,0,0,0,0,1,0,1,0,0.334
2022-07-24,»ï¼º,4,4,0,2,0,0,0,0,0,0,0,1,0,0.336
2022-07-26,KT,5,4,0,2,0,1,0,3,0,0,1,0,0,0.338
2022-07-27,KT,4,3,1,2,1,0,1,3,0,1,0,0,0,0.341
2022-07-28,KT,4,4,0,2,0,0,0,1,0,0,0,0,0,0.343
2022-07-29,NC,5,4,1,0,0,0,0,0,0,0,1,2,0,0.339
2022-07-30,NC,6,5,0,1,0,0,0,1,0,0,0,0,0,0.337
2022-08-02,SSG,5,4,1,2,1,0,0,1,0,1,0,0,0,0.339
2022-08-03,SSG,4,3,1,1,0,0,0,1,0,1,0,0,0,0.339
2022-08-04,SSG,5,5,1,2,1,0,0,0,0,0,0,0,0,0.340
2022-08-05,LG,5,4,1,1,0,1,0,2,0,1,0,1,0,0.339
2022-08-06,LG,4,4,1,3,1,0,0,0,0,0,0,0,0,0.343
2022-08-07,LG,4,4,0,2,0,0,0,0,0,0,0,0,0,0.345
2022-08-10,·Ôµ¥,5,5,0,1,0,0,0,2,0,0,0,1,0,0.343
2022-08-11,·Ôµ¥,4,3,0,0,0,0,0,0,0,1,0,1,0,0.340
2022-08-12,·Ôµ¥,4,3,0,0,0,0,0,0,0,1,0,0,0,0.338
2022-08-13,ÇÑÈ­,5,5,2,2,0,0,2,2,0,0,0,0,0,0.338
2022-08-14,ÇÑÈ­,6,6,2,2,0,0,1,3,0,0,0,0,0,0.338
2022-08-16,KT,5,5,1,1,1,0,0,1,0,0,0,0,0,0.337
2022-08-17,KT,4,4,0,0,0,0,0,0,0,0,0,0,0,0.333
2022-08-18,µÎ»ê,4,4,0,0,0,0,0,0,0,0,0,0,0,0.330
2022-08-20,SSG,5,5,1,1,0,0,0,0,0,0,0,0,1,0.329
2022-08-21,SSG,4,4,1,2,0,0,0,0,0,0,0,0,0,0.330
2022-08-23,KIA,4,4,1,2,0,0,0,0,0,0,0,0,0,0.332
2022-08-24,KIA,5,4,2,2,0,0,0,0,0,1,0,0,0,0.333
2022-08-25,NC,6,6,0,2,1,1,0,2,0,0,0,0,0,0.333
2022-08-26,NC,4,4,1,1,0,0,0,0,0,0,0,1,0,0.333
2022-08-27,LG,4,4,0,2,0,0,0,0,0,0,0,1,0,0.334
2022-08-28,LG,4,4,0,1,0,0,0,0,0,0,0,0,0,0.333
2022-08-30,·Ôµ¥,2,2,0,2,0,0,0,2,0,0,0,0,0,0.336
2022-08-31,·Ôµ¥,4,4,1,2,1,0,0,3,0,0,0,0,0,0.338
2022-09-01,ÇÑÈ­,5,4,1,4,0,1,0,1,0,1,0,0,0,0.344
2022-09-02,ÇÑÈ­,4,3,2,2,1,0,0,0,1,1,0,0,0,0.346
2022-09-03,SSG,4,4,0,0,0,0,0,0,0,0,0,0,0,0.343
2022-09-06,»ï¼º,4,4,1,1,0,0,1,2,0,0,0,0,0,0.342
2022-09-07,»ï¼º,4,4,1,1,0,0,1,1,0,0,0,0,0,0.341
2022-09-08,LG,4,2,1,1,0,0,0,0,0,2,0,0,0,0.342
2022-09-09,LG,4,3,1,1,1,0,0,0,0,1,0,1,0,0.342
2022-09-10,KT,4,4,0,1,0,0,0,1,0,0,0,0,0,0.341
2022-09-11,KT,4,4,0,2,0,1,0,2,0,0,0,0,0,0.342
2022-09-13,KIA,5,2,0,0,0,0,0,1,0,3,0,0,0,0.341
2022-09-14,KIA,4,4,0,1,0,0,0,0,0,0,0,0,0,0.340
2022-09-15,·Ôµ¥,5,5,0,1,0,0,0,0,0,0,0,1,0,0.339
2022-09-16,·Ôµ¥,6,5,1,1,1,0,0,1,0,1,0,0,0,0.337
2022-09-17,NC,4,4,2,2,1,1,0,4,0,0,0,0,0,0.339
2022-09-18,NC,4,3,1,1,0,0,0,0,0,1,0,0,0,0.339
2022-09-20,»ï¼º,4,4,0,2,1,0,0,1,0,0,0,0,0,0.340
2022-09-21,»ï¼º,4,3,0,1,0,0,0,0,0,1,0,0,0,0.340
2022-09-22,µÎ»ê,5,5,0,2,0,0,0,0,0,0,0,1,0,0.340
2022-09-23,µÎ»ê,4,4,2,4,2,0,0,0,0,0,0,0,0,0.345
2022-09-24,·Ôµ¥,5,5,2,3,1,0,1,4,0,0,0,0,1,0.348
2022-09-27,NC,5,5,0,1,0,0,0,0,0,0,0,1,0,0.346
2022-09-29,SSG,6,5,2,4,0,0,1,5,0,1,0,0,0,0.351
2022-09-30,SSG,5,5,2,2,1,0,0,0,1,0,0,1,0,0.351
2022-10-06,ÇÑÈ­,6,4,1,2,0,0,0,0,1,2,0,0,0,0.352
2022-10-08,µÎ»ê,5,5,0,0,0,0,0,0,0,0,0,0,0,0.349
