³¯Â¥,»ó´ë,½ÂÆÐ,ÀÌ´×,¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,½ÃÁðÆò±ÕÀÚÃ¥Á¡
2022-04-09,KIA,½Â,6,1,0,1,0,5,0,0
2022-04-15,»ï¼º,½Â,7,4,0,0,0,3,0,0
2022-04-21,Å°¿ò,½Â,6,3,1,2,0,5,1,0.47
2022-04-27,·Ôµ¥,,6,2,0,2,0,10,1,0.36
2022-05-03,ÇÑÈ­,½Â,7,7,0,1,0,8,1,0.56
2022-05-08,Å°¿ò,½Â,6,3,0,1,0,8,0,0.47
2022-05-14,NC,½Â,7,5,0,2,1,9,1,0.6
2022-05-20,LG,,7,7,1,2,0,3,4,1.21
2022-05-26,·Ôµ¥,,6,4,0,4,0,10,2,1.4
2022-06-01,KT,,6,6,0,2,0,5,1,1.41
2022-06-07,NC,ÆÐ,7,5,0,1,0,5,5,1.39
2022-06-18,·Ôµ¥,½Â,5,6,0,1,0,4,2,1.54
2022-06-25,NC,½Â,6,7,0,1,0,3,0,1.43
2022-07-02,KIA,,3 2/3,2,0,0,1,4,0,1.37
2022-07-08,»ï¼º,½Â,7,14,2,1,0,3,4,1.65
2022-07-22,µÎ»ê,,8,4,0,1,0,4,0,1.52
2022-07-28,LG,,7,4,1,1,0,6,3,1.67
2022-08-03,Å°¿ò,ÆÐ,6,5,0,3,2,5,2,1.74
2022-08-10,KT,½Â,5,7,1,2,0,5,2,1.82
2022-08-17,KIA,,7,6,1,1,0,7,3,1.93
2022-08-23,»ï¼º,,5,6,0,2,0,6,2,1.93
2022-08-28,·Ôµ¥,,5 2/3,4,0,6,0,4,1,1.85
2022-09-06,LG,½Â,6,6,1,0,1,3,4,2.02
2022-09-11,ÇÑÈ­,½Â,6,4,0,1,0,8,0,1.94
2022-09-17,µÎ»ê,,7,5,0,2,0,6,0,1.85
2022-09-23,ÇÑÈ­,½Â,6,2,0,3,0,3,2,1.9
2022-09-29,Å°¿ò,,6,6,1,1,0,3,3,1.99
2022-10-05,µÎ»ê,ÆÐ,6,6,1,1,0,8,4,2.13
