³¯Â¥,»ó´ë,½ÂÆÐ,ÀÌ´×,¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,½ÃÁðÆò±ÕÀÚÃ¥Á¡
2022-04-02,LG,ÆÐ,6,3,0,0,1,6,4,0
2022-04-08,SSG,,6,2,0,1,0,7,0,0
2022-04-14,·Ôµ¥,ÆÐ,6,7,0,2,0,5,3,1.5
2022-04-20,µÎ»ê,,7,4,0,1,0,5,1,1.44
2022-04-26,KT,½Â,6 2/3,4,0,2,0,6,3,1.71
2022-05-01,»ï¼º,,7,9,0,1,0,4,2,1.86
2022-05-07,ÇÑÈ­,½Â,6,8,1,1,0,5,4,2.42
2022-05-13,LG,,2 2/3,1,0,1,1,2,0,2.28
2022-05-19,·Ôµ¥,½Â,7 2/3,4,1,1,0,3,2,2.29
2022-05-25,»ï¼º,½Â,6,6,0,0,0,2,2,2.21
2022-05-31,µÎ»ê,½Â,5,4,1,4,0,5,5,2.45
2022-06-05,KT,,5,5,0,3,0,3,1,2.41
2022-06-11,Å°¿ò,½Â,6,6,1,1,0,5,2,2.45
2022-06-17,»ï¼º,½Â,6,5,1,2,0,4,3,2.6
2022-06-23,·Ôµ¥,,6,7,0,1,0,3,4,2.83
2022-06-29,Å°¿ò,ÆÐ,7,5,0,1,1,9,1,2.72
2022-07-06,KT,ÆÐ,4,7,1,4,0,2,6,3.15
2022-07-12,LG,½Â,6,3,0,3,0,3,0,2.97
2022-07-23,·Ôµ¥,½Â,6 1/3,8,0,0,0,5,3,3.04
2022-07-29,SSG,½Â,6 2/3,5,0,4,0,2,2,3.03
2022-08-04,ÇÑÈ­,ÆÐ,5 1/3,9,0,2,0,4,4,3.18
2022-08-12,»ï¼º,ÆÐ,5,9,2,1,0,8,6,3.48
2022-08-18,NC,,7,4,2,3,0,9,5,3.63
2022-08-24,Å°¿ò,,5,7,0,1,0,3,5,3.76
2022-08-31,ÇÑÈ­,½Â,6,5,1,3,0,5,3,3.79
2022-09-06,·Ôµ¥,,6,5,1,2,0,8,3,3.76
2022-09-11,µÎ»ê,ÆÐ,6,10,1,1,0,4,4,3.84
2022-09-16,ÇÑÈ­,,6,6,1,2,0,6,5,3.92
2022-09-22,NC,½Â,5,5,0,0,0,5,1,3.86
2022-10-01,SSG,,5,7,0,2,0,3,2,3.85
